explained_variance,fraction_var_unexplained,mse,cosine_similarity,activation_sparsity_l0,weight_sparsity,dead_features_pct,dead_features_count,total_latents,eval_dataset,model,layer,sae_train_dataset,sae_token_size,sae_expansion_factor,sae_k_value,sae_checkpoint_name,sae_token_size_mil
0.943232520209927,0.05676747979007303,1.0242335080980507,0.9709728690967488,0.0034722215192961783,2.9387298127403483e-05,0.04562717013888889,841,18432,GAIR/lima,HuggingFaceTB/SmolLM2-135M,6,EQ,50M,32,64,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k/layers.6,50.0
0.9420811022888477,0.057918897711152315,1.1373754382849528,0.9683883907433544,0.003472222222222222,2.6561596314422786e-05,0.06792534722222222,1252,18432,datablations/c4-filter-small,HuggingFaceTB/SmolLM2-135M,6,PRE,50M,32,64,smollm2-sparsify-PRE-50M-token-6_25-layers-32-expansion-64-k/layers.6,50.0
0.9269170399762279,0.07308296002377207,1.3186073576658486,0.9628974342739322,0.0069444402268881815,3.014081812580116e-05,0.026909722222222224,248,9216,GAIR/lima,HuggingFaceTB/SmolLM2-135M,6,PRE,50M,16,64,smollm2-sparsify-PRE-50M-token-6_25-layers-16-expansion-64-k/layers.6,50.0
0.9815470034354418,0.01845299656455818,64.30891377866486,0.9438337197456128,0.013888888888888888,3.42851817549672e-05,0.1332465277777778,614,4608,datablations/c4-filter-small,HuggingFaceTB/SmolLM2-135M,25,lmsys,50M,8,64,smollm2-sparsify-lmsys-50M-token-6_25-layers-8-expansion-64-k/layers.25,50.0
0.9874255897720869,0.012574410227913049,43.821970070571204,0.9648935840694395,0.003472222222222222,2.6373216314823367e-05,0.1767035590277778,3257,18432,datablations/c4-filter-small,HuggingFaceTB/SmolLM2-135M,25,EQ,50M,32,64,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k/layers.25,50.0
0.9764142836810995,0.023585716318900524,82.19650352471297,0.9469963722125125,0.013888888888888888,3.616898175096139e-05,0.1332465277777778,614,4608,datablations/c4-filter-small,HuggingFaceTB/SmolLM2-135M,25,INS,50M,8,64,smollm2-sparsify-INS-50M-token-6_25-layers-8-expansion-64-k/layers.25,50.0
0.9865689623772117,0.013431037622788354,40.03425388324402,0.9638283301141766,0.003472222222222222,2.496036540833302e-05,0.125,2304,18432,GAIR/lima,HuggingFaceTB/SmolLM2-135M,25,lmsys,50M,32,64,smollm2-sparsify-lmsys-50M-token-6_25-layers-32-expansion-64-k/layers.25,50.0
0.9045904419861373,0.09540955801386275,1.7214374615889112,0.9515841371107584,0.013888888888888888,3.692250174935907e-05,0.016059027777777776,74,4608,GAIR/lima,HuggingFaceTB/SmolLM2-135M,6,PRE,50M,8,64,smollm2-sparsify-PRE-50M-token-6_25-layers-8-expansion-64-k/layers.6,50.0
0.970753174217665,0.029246825782334916,87.17679761855385,0.9445710676100171,0.013888888888888888,3.42851817549672e-05,0.1247829861111111,575,4608,GAIR/lima,HuggingFaceTB/SmolLM2-135M,25,PRE,50M,8,64,smollm2-sparsify-PRE-50M-token-6_25-layers-8-expansion-64-k/layers.25,50.0
0.9256974326058193,0.07430256739418076,1.4591077954748637,0.9597030351264587,0.006944444444444444,2.9575678127002902e-05,0.03830295138888889,353,9216,datablations/c4-filter-small,HuggingFaceTB/SmolLM2-135M,6,INS,50M,16,64,smollm2-sparsify-INS-50M-token-6_25-layers-16-expansion-64-k/layers.6,50.0
0.941602523622863,0.058397476377136985,1.1467734696959224,0.9681191523378814,0.003472222222222222,2.9387298127403483e-05,0.0637478298611111,1175,18432,datablations/c4-filter-small,HuggingFaceTB/SmolLM2-135M,6,EQ,50M,32,64,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k/layers.6,50.0
0.9068114206874406,0.09318857931255939,1.82997959953174,0.9493729501013033,0.013888887775723141,3.466194175416604e-05,0.022569444444444444,104,4608,datablations/c4-filter-small,HuggingFaceTB/SmolLM2-135M,6,EQ,50M,8,64,smollm2-sparsify-EQ-50M-token-6_25-layers-8-expansion-64-k/layers.6,50.0
0.9426102101932328,0.05738978980676725,1.0354616051331904,0.9706361130771716,0.003472221987913541,2.6561596314422786e-05,0.05186631944444445,956,18432,GAIR/lima,HuggingFaceTB/SmolLM2-135M,6,PRE,50M,32,64,smollm2-sparsify-PRE-50M-token-6_25-layers-32-expansion-64-k/layers.6,50.0
0.9391911432838108,0.060808856716189144,1.097150496519761,0.9687271626327594,0.00347216833122553,2.7503496312419884e-05,0.04774305555555555,880,18432,GAIR/lima,HuggingFaceTB/SmolLM2-135M,6,lmsys,50M,32,64,smollm2-sparsify-lmsys-50M-token-6_25-layers-32-expansion-64-k/layers.6,50.0
0.8988612566788449,0.10113874332115512,1.986099996000762,0.9445191094363429,0.013888874417734166,3.2778138120193034e-05,0.015407986111111112,71,4608,datablations/c4-filter-small,HuggingFaceTB/SmolLM2-135M,6,lmsys,50M,8,64,smollm2-sparsify-lmsys-50M-token-6_25-layers-8-expansion-64-k/layers.6,50.0
0.986405279965446,0.013594720034554001,47.37776195256954,0.9597998673959327,0.006944444444444444,1.8838010873878375e-05,0.17057291666666666,1572,9216,datablations/c4-filter-small,HuggingFaceTB/SmolLM2-135M,25,EQ,50M,16,64,smollm2-sparsify-EQ-50M-token-6_25-layers-16-expansion-64-k/layers.25,50.0
0.9242341843831744,0.07576581561682558,1.3670130752695777,0.9614418759108854,0.006944442101357632,2.9764058126602322e-05,0.023111979166666668,213,9216,GAIR/lima,HuggingFaceTB/SmolLM2-135M,6,lmsys,50M,16,64,smollm2-sparsify-lmsys-50M-token-6_25-layers-16-expansion-64-k/layers.6,50.0
0.9801208780431886,0.019879121956811435,59.25423170914608,0.9464432837474038,0.013888888888888888,3.42851817549672e-05,0.11783854166666667,543,4608,GAIR/lima,HuggingFaceTB/SmolLM2-135M,25,lmsys,50M,8,64,smollm2-sparsify-lmsys-50M-token-6_25-layers-8-expansion-64-k/layers.25,50.0
0.9849604461788192,0.015039553821180843,52.41302498335265,0.9601386646230355,0.006944444444444444,2.9387298127403483e-05,0.18033854166666666,1662,9216,datablations/c4-filter-small,HuggingFaceTB/SmolLM2-135M,25,PRE,50M,16,64,smollm2-sparsify-PRE-50M-token-6_25-layers-16-expansion-64-k/layers.25,50.0
0.9051995908214395,0.09480040917856049,1.8616317160728113,0.948316510791051,0.013888888888888888,3.9183061744552106e-05,0.018229166666666668,84,4608,datablations/c4-filter-small,HuggingFaceTB/SmolLM2-135M,6,INS,50M,8,64,smollm2-sparsify-INS-50M-token-6_25-layers-8-expansion-64-k/layers.6,50.0
0.9758687221738225,0.024131277826177543,71.9287466949799,0.9478366739346368,0.013888887951654164,3.0517578125e-05,0.1273871527777778,587,4608,GAIR/lima,HuggingFaceTB/SmolLM2-135M,25,EQ,50M,8,64,smollm2-sparsify-EQ-50M-token-6_25-layers-8-expansion-64-k/layers.25,50.0
0.9780681546656246,0.02193184533437537,76.4327433585651,0.9484164242004506,0.013888888888888888,3.0517578125e-05,0.1427951388888889,658,4608,datablations/c4-filter-small,HuggingFaceTB/SmolLM2-135M,25,EQ,50M,8,64,smollm2-sparsify-EQ-50M-token-6_25-layers-8-expansion-64-k/layers.25,50.0
